Attrition,Gender,Age,MaritalStatus,EducationField,Level of Education,MonthlyIncome,DistanceFromHome,NumCompaniesWorked,JobLevel,OverTime,PercentSalaryHike,PerformanceRating,BusinessTravel,StockOptionLevel,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,RelationshipSatisfaction,WorkLifeBalance
Yes,Female,41,Single,Life Sciences,2,5993,1,8,2,Yes,11,3,Travel_Rarely,0,6,4,0,5,2,3,4,1,1
No,Male,49,Married,Life Sciences,1,5130,8,1,2,No,23,4,Travel_Frequently,1,10,7,1,7,3,2,2,4,3
Yes,Male,37,Single,Other,2,2090,2,6,1,Yes,15,3,Travel_Rarely,0,0,0,0,0,4,2,3,2,3
No,Female,33,Married,Life Sciences,4,2909,3,1,1,Yes,11,3,Travel_Frequently,0,8,7,3,0,4,3,3,3,3
No,Male,27,Married,Medical,1,3468,2,9,1,No,12,3,Travel_Rarely,1,2,2,2,2,1,3,2,4,3
No,Male,32,Single,Life Sciences,2,3068,2,0,1,No,13,3,Travel_Frequently,0,7,7,3,6,4,3,4,3,2
No,Female,59,Married,Medical,3,2670,3,4,1,Yes,20,4,Travel_Rarely,3,1,0,0,0,3,4,1,1,2
No,Male,30,Divorced,Life Sciences,1,2693,24,1,1,No,22,4,Travel_Rarely,1,1,0,0,0,4,3,3,2,3
No,Male,38,Single,Life Sciences,3,9526,23,0,3,No,21,4,Travel_Frequently,0,9,7,1,8,4,2,3,2,3
No,Male,36,Married,Medical,3,5237,27,6,2,No,13,3,Travel_Rarely,2,7,7,7,7,3,3,3,2,2
No,Male,35,Married,Medical,3,2426,16,0,1,No,13,3,Travel_Rarely,1,5,4,0,3,1,4,2,3,3
No,Female,29,Single,Life Sciences,2,4193,15,0,2,Yes,12,3,Travel_Rarely,0,9,5,0,8,4,2,3,4,3
No,Male,31,Divorced,Life Sciences,1,2911,26,1,1,No,17,3,Travel_Rarely,1,5,2,4,3,1,3,3,4,2
No,Male,34,Divorced,Medical,2,2661,19,0,1,No,11,3,Travel_Rarely,1,2,2,1,2,2,3,4,3,3
Yes,Male,28,Single,Life Sciences,3,2028,24,5,1,Yes,14,3,Travel_Rarely,0,4,2,0,3,3,2,3,2,3
No,Female,29,Divorced,Life Sciences,4,9980,21,1,3,No,11,3,Travel_Rarely,1,10,9,8,8,2,4,1,3,3
No,Male,32,Divorced,Life Sciences,2,3298,5,0,1,Yes,12,3,Travel_Rarely,2,6,2,0,5,1,4,2,4,2
No,Male,22,Divorced,Medical,2,2935,16,1,1,Yes,13,3,Non-Travel,2,1,0,0,0,4,4,4,2,2
No,Female,53,Married,Life Sciences,4,15427,2,2,4,No,16,3,Travel_Rarely,0,25,8,3,7,1,2,4,3,3
No,Male,38,Single,Life Sciences,3,3944,2,5,1,Yes,11,3,Travel_Rarely,0,3,2,1,2,4,3,4,3,3
No,Female,24,Divorced,Other,2,4011,11,0,2,No,18,3,Non-Travel,1,4,2,1,3,1,4,3,4,2
Yes,Male,36,Single,Life Sciences,4,3407,9,7,1,No,23,4,Travel_Rarely,0,5,3,0,3,3,2,1,2,3
No,Female,34,Single,Life Sciences,4,11994,7,0,3,No,11,3,Travel_Rarely,0,12,6,2,11,1,3,2,3,3
No,Male,21,Single,Life Sciences,2,1232,15,1,1,No,14,3,Travel_Rarely,0,0,0,0,0,3,3,4,4,3
Yes,Male,34,Single,Medical,1,2960,6,2,1,No,11,3,Travel_Rarely,0,4,2,1,3,2,3,1,3,3
No,Female,53,Divorced,Other,3,19094,5,4,5,No,11,3,Travel_Rarely,1,14,13,4,8,3,3,3,4,2
Yes,Female,32,Single,Life Sciences,1,3919,16,1,1,Yes,22,4,Travel_Frequently,0,10,2,6,7,2,1,1,2,3
No,Male,42,Married,Marketing,4,6825,8,0,2,No,11,3,Travel_Rarely,1,9,7,4,2,3,3,2,4,3
No,Female,44,Married,Medical,4,10248,7,3,3,No,14,3,Travel_Rarely,1,22,6,5,17,1,2,4,4,3
No,Female,46,Single,Marketing,4,18947,2,3,5,No,12,3,Travel_Rarely,0,2,2,2,1,2,3,1,4,2
No,Male,33,Single,Medical,3,2496,2,4,1,No,11,3,Travel_Rarely,0,1,1,0,0,3,3,4,4,3
No,Male,44,Married,Other,4,6465,10,2,2,Yes,13,3,Travel_Rarely,0,4,2,1,3,4,3,4,4,4
No,Male,30,Single,Medical,2,2206,9,1,1,No,13,3,Travel_Rarely,0,10,0,1,8,4,2,3,1,3
Yes,Male,39,Married,Technical Degree,3,2086,5,3,2,No,14,3,Travel_Rarely,1,1,0,0,0,4,3,4,3,4
Yes,Male,24,Married,Medical,3,2293,1,2,1,Yes,16,3,Travel_Rarely,1,2,0,2,0,2,3,4,1,2
No,Female,43,Divorced,Medical,2,2645,2,1,1,No,12,3,Travel_Rarely,2,5,3,1,4,4,4,3,4,2
Yes,Male,50,Married,Marketing,2,2683,3,1,1,Yes,14,3,Travel_Rarely,0,3,2,0,2,1,2,3,3,3
No,Female,35,Married,Marketing,3,2014,2,1,1,No,13,3,Travel_Rarely,0,2,2,2,2,4,3,4,1,3
No,Female,36,Married,Life Sciences,4,3419,5,9,1,Yes,14,3,Travel_Rarely,1,1,1,0,0,2,2,1,4,4
No,Female,33,Married,Life Sciences,3,5376,1,2,2,No,19,3,Travel_Frequently,2,5,3,1,3,3,4,1,1,3
No,Male,35,Divorced,Other,2,1951,4,1,1,No,12,3,Travel_Rarely,1,1,0,0,0,3,3,4,3,3
No,Female,27,Divorced,Life Sciences,4,2341,2,1,1,No,13,3,Travel_Rarely,1,1,0,0,0,4,3,1,4,3
Yes,Male,26,Single,Life Sciences,3,2293,25,1,1,No,12,3,Travel_Rarely,0,1,0,0,1,1,1,3,3,2
No,Male,27,Single,Life Sciences,3,8726,8,1,3,No,15,3,Travel_Frequently,0,9,8,1,7,4,3,3,4,3
No,Female,30,Single,Medical,2,4011,1,1,2,No,23,4,Travel_Frequently,0,12,8,3,7,3,3,4,4,3
Yes,Female,41,Married,Technical Degree,3,19545,12,1,5,No,12,3,Travel_Rarely,0,22,15,15,8,2,3,3,4,3
No,Male,34,Single,Marketing,4,4568,23,0,2,No,20,4,Non-Travel,0,9,5,8,7,2,3,3,3,3
No,Male,37,Married,Life Sciences,2,3022,19,4,1,No,21,4,Travel_Rarely,0,1,0,0,0,2,3,2,1,3
No,Male,46,Single,Marketing,4,5772,5,4,2,Yes,21,4,Travel_Frequently,0,9,6,0,8,1,3,4,3,3
No,Male,35,Married,Life Sciences,1,2269,8,1,1,No,19,3,Travel_Rarely,0,1,0,0,1,4,4,4,4,3
Yes,Male,48,Single,Life Sciences,2,5381,1,9,3,Yes,13,3,Travel_Rarely,0,1,0,0,0,1,2,3,4,3
Yes,Male,28,Single,Technical Degree,4,3441,5,1,1,Yes,13,3,Travel_Rarely,0,2,2,2,2,3,3,3,3,2
No,Female,44,Divorced,Marketing,5,5454,1,5,2,Yes,21,4,Travel_Rarely,1,4,3,1,3,2,3,1,3,2
No,Male,35,Married,Medical,2,9884,11,2,3,Yes,13,3,Non-Travel,1,4,0,2,3,3,2,1,3,3
No,Female,26,Married,Marketing,3,4157,23,7,2,Yes,19,3,Travel_Rarely,1,2,2,0,0,3,2,4,3,2
No,Female,33,Single,Life Sciences,2,13458,1,1,3,Yes,12,3,Travel_Frequently,0,15,14,8,12,1,3,4,3,3
No,Male,35,Married,Life Sciences,5,9069,18,1,3,No,22,4,Travel_Frequently,1,9,8,1,8,2,3,1,4,2
No,Female,35,Married,Medical,4,4014,23,3,1,Yes,15,3,Travel_Rarely,1,2,2,2,2,3,3,1,3,3
No,Male,31,Divorced,Life Sciences,4,5915,7,3,2,No,22,4,Travel_Rarely,1,7,7,1,7,4,3,4,4,2
No,Male,37,Divorced,Life Sciences,4,5993,1,1,2,No,18,3,Travel_Rarely,1,7,5,0,7,1,2,3,3,4
No,Male,32,Married,Medical,3,6162,1,1,2,Yes,22,4,Travel_Rarely,1,9,8,7,8,1,3,4,2,3
No,Female,38,Single,Life Sciences,5,2406,29,1,2,No,11,3,Travel_Frequently,0,10,3,9,9,4,3,4,4,3
No,Female,50,Divorced,Medical,2,18740,7,5,5,Yes,12,3,Travel_Rarely,1,27,3,13,8,2,2,3,4,2
No,Female,59,Single,Life Sciences,3,7637,25,7,3,No,11,3,Travel_Rarely,0,21,16,7,9,1,3,1,4,2
No,Female,36,Divorced,Technical Degree,3,10096,8,1,3,No,13,3,Travel_Rarely,3,17,14,12,8,3,3,3,2,3
No,Female,55,Divorced,Medical,3,14756,8,2,4,Yes,14,3,Travel_Rarely,3,5,0,0,2,4,3,3,3,3
No,Male,36,Single,Life Sciences,3,6499,11,1,2,No,13,3,Travel_Frequently,0,6,5,0,3,2,2,2,3,3
No,Male,45,Divorced,Life Sciences,3,9724,7,2,3,No,17,3,Travel_Rarely,1,1,0,0,0,2,3,1,3,3
No,Male,35,Married,Medical,3,2194,1,4,1,No,13,3,Travel_Frequently,1,3,2,1,2,2,3,1,4,2
Yes,Male,36,Married,Medical,3,3388,9,0,1,Yes,17,3,Travel_Rarely,1,1,0,0,0,4,2,3,1,2
No,Female,59,Single,Life Sciences,1,5473,1,7,2,No,11,3,Travel_Frequently,0,4,3,1,3,1,2,3,4,2
No,Male,29,Married,Life Sciences,3,2703,2,0,1,No,23,4,Travel_Rarely,1,5,4,0,4,3,3,2,4,3
No,Male,31,Single,Medical,4,2501,1,1,1,No,17,3,Travel_Rarely,0,1,1,1,0,3,3,2,2,3
No,Male,32,Married,Life Sciences,3,6220,1,1,2,No,17,3,Travel_Rarely,2,10,4,0,9,2,3,2,2,3
No,Female,36,Married,Life Sciences,3,3038,6,3,1,No,12,3,Travel_Rarely,0,1,0,0,0,2,4,4,2,3
No,Female,31,Single,Life Sciences,4,4424,8,1,2,No,23,4,Travel_Rarely,0,11,7,1,8,3,3,4,4,3
No,Male,35,Single,Marketing,4,4312,1,0,2,No,14,3,Travel_Rarely,0,15,13,2,8,3,2,1,2,3
No,Male,45,Married,Other,4,13245,6,4,3,Yes,14,3,Travel_Rarely,0,0,0,0,0,4,3,1,2,4
No,Male,37,Single,Medical,4,13664,7,4,3,No,13,3,Travel_Rarely,0,5,2,0,2,1,3,3,1,4
No,Male,46,Divorced,Medical,2,5021,5,8,2,Yes,22,4,Travel_Rarely,1,4,2,0,2,2,3,2,4,3
No,Male,30,Married,Life Sciences,1,5126,1,1,2,Yes,12,3,Travel_Rarely,2,10,8,3,0,4,2,4,3,2
No,Male,35,Single,Medical,3,2859,1,1,1,No,18,3,Travel_Rarely,0,6,4,0,4,2,2,3,1,3
No,Male,55,Married,Life Sciences,2,10239,1,3,3,No,14,3,Travel_Rarely,1,1,0,1,0,1,3,4,4,3
No,Female,38,Divorced,Medical,3,5329,6,7,2,Yes,12,3,Non-Travel,3,13,11,1,9,2,1,4,4,3
No,Male,34,Married,Medical,2,4325,1,1,2,No,15,3,Travel_Rarely,0,5,2,1,3,1,3,2,3,3
No,Male,56,Single,Life Sciences,3,7260,7,4,3,No,11,3,Travel_Rarely,0,6,4,0,2,4,1,4,1,2
No,Male,23,Divorced,Technical Degree,1,2322,2,3,1,No,13,3,Travel_Rarely,1,0,0,0,0,3,3,1,3,3
No,Male,51,Married,Life Sciences,4,2075,9,3,1,No,23,4,Travel_Rarely,2,4,2,0,3,4,3,4,2,3
No,Male,30,Married,Life Sciences,3,4152,2,1,2,No,19,3,Travel_Rarely,3,11,10,10,8,3,2,4,1,3
Yes,Male,46,Single,Medical,2,9619,9,1,3,No,16,3,Travel_Rarely,0,9,8,4,7,3,2,4,4,3
No,Male,40,Married,Life Sciences,4,13503,1,1,4,No,22,4,Travel_Frequently,1,22,3,11,11,3,2,2,4,2
No,Male,51,Single,Marketing,4,5441,21,0,2,Yes,22,4,Travel_Rarely,0,10,7,1,0,3,3,4,4,1
No,Female,30,Divorced,Medical,2,5209,4,1,2,Yes,12,3,Travel_Rarely,3,11,8,2,7,3,2,2,2,2
No,Male,46,Married,Medical,3,10673,1,2,3,Yes,13,3,Travel_Frequently,1,10,9,9,5,3,2,1,3,2
No,Male,32,Single,Medical,4,5010,6,1,2,No,16,3,Travel_Rarely,0,11,8,5,7,2,3,3,1,3
No,Female,54,Married,Technical Degree,4,13549,2,9,3,No,12,3,Travel_Rarely,1,4,3,0,3,1,3,3,1,1
No,Female,24,Married,Other,2,4999,3,0,2,No,21,4,Travel_Rarely,1,3,2,0,2,1,3,3,1,2
No,Male,28,Married,Medical,3,4221,4,1,2,No,15,3,Non-Travel,0,5,4,0,4,2,3,3,2,4
No,Male,58,Single,Medical,4,13872,10,0,4,No,13,3,Travel_Rarely,0,37,10,1,8,4,3,3,3,2
No,Male,44,Married,Medical,3,2042,23,4,2,No,12,3,Non-Travel,1,3,2,1,2,2,3,2,3,4
Yes,Male,37,Divorced,Human Resources,4,2073,6,4,1,Yes,22,4,Travel_Rarely,0,3,2,0,2,3,3,1,4,3
No,Male,32,Single,Life Sciences,1,2956,1,1,1,No,13,3,Travel_Rarely,0,1,0,0,0,4,3,1,4,3
Yes,Female,20,Single,Life Sciences,3,2926,6,1,1,Yes,18,3,Travel_Frequently,0,1,0,1,0,4,2,4,2,3
No,Female,34,Single,Other,4,4809,6,1,2,No,14,3,Travel_Rarely,0,16,13,2,10,1,3,3,3,3
No,Male,37,Divorced,Life Sciences,2,5163,2,5,2,No,14,3,Non-Travel,1,1,0,0,0,3,2,4,4,4
No,Female,59,Married,Human Resources,4,18844,2,9,5,No,21,4,Non-Travel,1,3,2,2,2,3,2,4,4,3
No,Female,50,Married,Life Sciences,3,18172,1,3,5,Yes,19,3,Travel_Frequently,0,8,3,0,7,1,3,2,1,2
Yes,Male,25,Single,Marketing,3,5744,5,1,2,Yes,11,3,Travel_Rarely,0,6,4,0,3,3,2,3,4,3
